Row.names,Horodateur,Sexe,Age,Race,Nombre,Logement,Zone,Ext,Obs,Timide,Calme,Effrayé,Intelligent,Vigilant,Perséverant,Affectueux,Amical,Solitaire,Brutal,Dominant,Agressif,Impulsif,Prévisible,Distrait,Abondance,PredOiseau,PredMamm,Plus
2366,2021-03-14 11:28:06 UTC,M,2a10,RAG,1,ASB,U,0,1,2,3,5,4,4,4,4,4,2,3,3,2,4,4,3,2,0,0,
2367,2021-03-14 12:26:01 UTC,M,2a10,EUR,2,AAB,U,2,3,2,4,3,3,5,5,5,5,4,4,4,2,3,4,4,2,0,0,
2368,2021-03-14 12:29:09 UTC,M,1a2,MCO,3,ML,PU,0,2,1,2,1,5,3,5,5,3,3,2,5,1,3,5,5,2,0,0,
2369,2021-03-14 12:52:09 UTC,F,2a10,EUR,2,MI,R,0,3,4,4,3,5,5,4,5,2,4,3,4,2,3,3,4,2,0,0,
237,2021-02-10 12:16:58 UTC,M,2a10,NR,1,ASB,U,0,3,3,4,3,5,4,3,5,2,2,1,3,3,4,5,1,NSP,0,0,
2370,2021-03-14 13:46:20 UTC,M,2a10,MCO,1,AAB,U,2,3,1,1,4,4,4,5,4,2,3,5,5,4,4,4,3,2,0,0,
2371,2021-03-14 14:33:53 UTC,F,Moinsde1,EUR,1,MI,R,2,2,2,4,2,4,4,3,4,4,2,2,3,3,3,4,4,2,0,0,
2372,2021-03-14 14:42:25 UTC,F,2a10,SBI,3,ML,PU,1,2,1,4,1,4,3,4,5,5,1,1,4,1,2,3,3,2,0,0,"Ma birmane ne chasse pas dehors mais possède des doudous (rat Ikea) qu'il promène, plonge dans ses croquettes et son bol d'eau et avec lesquels il joue : léchage, jeux de prédation (comme avec une souris)... 
Elle joue aussi beaucoup avec ses BENs et partage des moments de douceur."
2373,2021-03-14 16:44:02 UTC,M,Plusde10,EUR,1,ML,PU,2,2,3,4,2,4,4,3,5,4,3,2,4,3,5,4,3,2,0,1,
2374,2021-03-14 18:24:46 UTC,F,2a10,NR,2,ML,U,2,1,4,3,5,5,5,2,2,2,2,5,1,2,1,3,1,2,0,0,
2375,2021-03-14 18:34:36 UTC,M,1a2,PER,1,ASB,U,0,3,2,4,1,5,5,3,5,3,1,1,1,2,1,5,4,2,0,0,
2376,2021-03-14 19:05:31 UTC,M,1a2,NR,1,ML,PU,2,1,1,4,1,5,5,4,3,5,4,1,1,1,1,3,3,2,0,0,
2377,2021-03-14 20:08:20 UTC,M,2a10,RAG,5,ML,R,1,2,1,2,1,3,2,3,3,3,3,2,3,2,3,3,2,2,0,0,
2378,2021-03-14 20:23:47 UTC,M,Moinsde1,NR,1,AAB,U,2,2,5,2,3,5,5,3,5,2,5,1,2,3,2,4,3,2,0,0,
2379,2021-03-14 20:23:47 UTC,M,Plusde10,EUR,1,ML,U,3,2,4,4,4,3,3,2,3,1,3,2,2,3,2,3,2,2,0,1,
238,2021-02-10 13:52:29 UTC,M,2a10,RAG,1,ASB,U,0,3,2,4,2,3,3,3,4,4,3,1,1,1,1,3,3,NSP,0,0,
2380,2021-03-14 22:24:50 UTC,M,Moinsde1,SBI,1,ML,R,0,2,2,3,1,4,4,3,4,3,1,1,1,1,1,1,4,2,0,0,Il ne sort pas
2381,2021-03-14 22:33:44 UTC,M,2a10,NR,4,ML,U,2,2,1,3,2,4,3,3,5,5,2,2,1,1,3,3,4,2,0,0,
2382,2021-03-14 23:13:49 UTC,M,2a10,NR,1,ASB,R,0,2,3,4,3,4,4,5,3,2,4,3,3,3,3,4,3,2,0,0,"Mon chat a 2ans et demis et depuis 1 mois il gratte à la porte d’entrée de mon appartement (j’ai un chat d’intérieur) et je n’en connais pas la cause et il miaule beaucoup et cela la nuit 
Il ne faisait pas cela avant"
2383,2021-03-14 23:34:26 UTC,M,2a10,RAG,2,MI,R,1,2,1,4,3,5,4,5,5,4,3,2,2,1,5,1,4,2,0,0,
2384,2021-03-14 23:43:39 UTC,M,2a10,NR,1,AAB,U,1,3,2,5,5,5,5,1,5,4,1,1,1,1,1,5,2,2,0,0,"Il a été abandonné, je ne connais pas le début de sa vie, il est très craintif des choses inconnu (voir même de certaines choses connues) et je pense que son passé à indéniablement influencé son comportement et caractère."
2385,2021-03-15 00:04:28 UTC,M,2a10,EUR,1,AAB,PU,0,3,3,5,3,5,5,5,5,5,3,1,2,3,3,4,3,2,0,4,
2386,2021-03-15 05:29:31 UTC,F,2a10,EUR,1,ML,PU,1,2,4,4,4,5,5,5,4,4,3,5,4,3,4,3,3,2,0,0,
2387,2021-03-15 06:27:58 UTC,F,1a2,NR,Plusde5,ML,U,0,2,2,4,1,5,4,5,4,4,3,3,5,3,4,4,3,2,0,0,Dana
2388,2021-03-15 07:19:24 UTC,F,1a2,SPH,1,ML,R,0,3,1,2,1,5,5,5,5,4,1,1,2,1,1,4,4,2,0,0,"Elle appelle et surveille les oiseaux à travers la baie vitrée, son instinct de chasseuse est présent tout de même"
2389,2021-03-15 07:58:21 UTC,F,Moinsde1,EUR,2,ML,R,0,2,4,3,2,4,3,4,5,2,3,1,1,1,3,4,3,2,0,0,
239,2021-02-10 13:55:24 UTC,F,2a10,RAG,3,AAB,PU,0,3,1,4,2,4,3,4,4,4,1,1,1,1,1,4,3,NSP,0,0,
2390,2021-03-15 08:45:46 UTC,F,2a10,EUR,1,ML,U,1,2,2,3,3,5,5,5,5,4,3,1,2,3,3,4,3,2,0,0,"Mon chat sort en laisse, elle attaquerait les oiseaux si je ne l'empêchais pas."
2391,2021-03-15 12:13:42 UTC,M,1a2,NR,2,ML,U,0,2,4,5,4,4,2,2,5,4,2,1,2,2,2,4,5,2,0,1,
2392,2021-03-15 14:26:22 UTC,F,2a10,BEN,1,ASB,U,1,2,3,4,2,3,4,5,2,4,4,1,3,1,4,4,5,2,0,0,Hyper sportive !
2393,2021-03-15 19:34:31 UTC,F,2a10,EUR,2,ML,R,2,2,2,5,4,4,5,5,4,2,4,1,2,1,2,4,2,2,0,4,
